ZipCode,Neighborhood,CityState,County,SchoolDistrict,Rating,12MonthAppreciation,5YearAppreciation,10YearAppreciation,MedianHomeCost,Property Tax Rate (School/Sewer/County),2 Bed Rent (bestplaces.net),3 Bed Rent (bestplaces.net),Homes Owned,% Renters,Homes Vacant,Homes Rented,VacantForRent,PopulationNow,Population2010,PopulationGrowthRate,MedianAge,MedianIncome,JobMarketIncrease,FutureJobGrowth,ViolentCrime,PropertyCrime
14031,Clarence,No City ,Erie,Clarence Central School District,A,0.13,0.567,0.851,395000,0.2072,960,1170,0.743,0.207,0.089,0.168,0,10258,9392,9.220613288,50.2,52134,-0.06,0.268,14.7,20.1
14067,Gasport,No City ,Niagara ,Royalton-Hartland Central School District,B-,0.13,0.567,0.851,197500,0.2448,1070,1310,0.78,0.182,0.085,0.136,0,5494,5040,9.007936508,42.5,36111,-0.06,0.228,18.8,24.7
14032,Clarence Center,No City ,Erie,Clarence Central School District,A,0.13,0.567,0.851,493400,0.2429,1630,2000,0.876,0.121,0.054,0.071,0.007,8660,7989,8.399048692,44.2,59767,-0.06,0.268,7,12
14069,Glenwood,No City ,Erie,North Shore Central School District ,A+,0.13,0.567,0.851,240000,0.2429,1010,1240,0.908,0.197,0,0.092,0,913,844,8.17535545,51.5,35141,-0.06,0.244,10.2,15.9
14012,Barker,No City ,Niagara ,Barker Central School District ,B,0.13,0.567,0.851,198400,0.2078,940,1150,0.731,0.153,0.158,0.111,0,2488,2362,5.33446232,43.8,30245,-0.06,0.228,22.6,27.8
14034,Collins,No City ,Erie,Gowanda Central School District,B-,0.13,0.567,0.851,171700,0.2429,900,1100,0.772,0.113,0.118,0.11,0,2886,2742,5.251641138,39.3,22961,-0.06,0.244,23.8,29.3
14086,Lancaster,No City ,Erie,Lancaster Central School District,A-,0.13,0.567,0.851,304300,0.2479,1030,1260,0.809,0.158,0.027,0.164,0.001,32730,31847,2.772631645,45.8,47370,-0.06,0.244,13.5,18.7
14086,Lancaster,No City ,Erie,Lancaster Central School District,A-,0.13,0.567,0.851,304300,0.2479,1030,1260,0.809,0.158,0.027,0.164,0.001,32730,31847,2.772631645,45.8,47370,-0.06,0.244,13.5,18.7
14092,Lewiston,No City ,Niagara ,Lewiston-Porter Central School District,A,0.13,0.567,0.851,278300,0.2114,1130,1380,0.711,0.169,0.054,0.235,0.024,11331,11086,2.209994588,49,39495,-0.06,0.228,18.7,24.1
14001,Akron,No City ,Erie,Akron Central School District,B,0.13,0.567,0.851,247400,0.2537,980,1200,0.674,0.195,0.086,0.24,0.01,9637,9464,1.827979713,45.1,36776,-0.06,0.244,22.2,28.1
14051,East Amherst,No City ,Erie,Williamsville Central School District,A+,0.13,0.567,0.851,430900,0.2237,1650,2020,0.792,0.089,0.034,0.174,0.002,19820,19533,1.46930835,45.7,54168,-0.06,0.272,7.6,13.6
14030,Chaffee,No City ,Erie,Yorkshire-Pioneer Central School District ,B+,0.13,0.567,0.851,210200,0.2429,1080,1320,0.771,0.115,0.069,0.16,0,1830,1807,1.272827892,40.1,32533,-0.06,0.244,14.8,19.6
14055,East Concord ,No City ,Erie,Springville-Griffith Institute Central School District,B,0.13,0.567,0.851,240300,0.2429,860,1050,0.754,0.07,0.091,0.156,0,1419,1405,0.996441281,51.7,39111,-0.06,0.244,11.8,17.5
14057,Eden,No City ,Erie,Eden Central School District,B-,0.13,0.567,0.851,272600,0.2597,950,1160,0.811,0.103,0.042,0.147,0,8158,8116,0.517496304,47.5,39451,-0.06,0.244,13.2,17.1
14006,Lake Erie Beach,No City ,Erie,Lake Shore Central School District,B,0.13,0.567,0.851,181400,0.2923,1110,1360,0.668,0.151,0.197,0.135,0,9861,9858,0.030432136,47.3,31083,-0.06,0.244,24.4,30.4
14047,Derby,No city ,Erie,Lake Shore Central School District,B,0.13,0.567,0.851,211300,0.2429,1040,1270,0.764,0.142,0.062,0.174,0,6430,6440,-0.155279503,48.2,33525,-0.06,0.244,23.1,28.7
14061,Farnham,No City ,Erie,Lake Shore Central School District,B,0.13,0.567,0.851,209300,0.2429,1310,1610,0.808,0.25,0,0.192,0,347,349,-0.573065903,45.7,41435,-0.06,0.244,27.9,31.9
14068,Getzville,No City ,Erie,Williamsville Central School District,A+,0.13,0.567,0.851,384000,0.2216,1220,1490,0.652,0.258,0.096,0.252,0.074,7066,7150,-1.174825175,49.7,53184,-0.06,0.272,18.7,25.1
14004,Alden,No city ,Erie,Alden Central School District,B+,0.13,0.567,0.851,264600,0.2231,970,1190,0.844,0.193,0.028,0.128,0,12545,12704,-1.251574307,41.9,29126,-0.06,0.244,17.4,23.1
14085,Lake View,No City ,Erie,Frontier Central School District,B,0.13,0.567,0.851,299800,0.2328,1340,1640,0.941,0.027,0.041,0.018,0,7245,7353,-1.46878825,42.6,39162,-0.06,0.244,11.4,18.2
14094,Lockport,Lockport,Niagara ,Lockport City School District,B,0.13,0.567,0.851,217000,0.2933,1000,1230,0.661,0.264,0.086,0.253,0.012,49308,50666,-2.680298425,42.6,34485,-0.06,0.212,30.7,38.1
14028,Burt,No City ,Niagara ,Buffalo Public School District,B-,0.13,0.567,0.851,209400,0.2775,1110,1360,0.794,0.113,0.114,0.091,0,1548,1595,-2.946708464,47.8,38116,-0.06,0.228,17.9,23.6
14091,Lawtons,No City ,Erie,North Collins Central School District,C,0.13,0.567,0.851,235300,0.2292,910,1110,0.77,0.096,0.134,0.096,0,1043,1079,-3.336422614,37.4,35319,-0.06,0.244,25,29.9
14025,Boston,No City ,Erie,Hamburg Central School District,B+,0.13,0.567,0.851,275700,0.2172,1030,1260,0.851,0.165,0.048,0.101,0,2904,3039,-4.44225074,49.9,45144,-0.06,0.244,21.1,26.8
14026,Bowmansville,No City ,Erie,Lancaster Central School District ,A-,0.13,0.567,0.851,256800,0.2429,1190,1460,0.561,0.326,0.181,0.258,0,641,674,-4.896142433,55.4,42336,-0.06,0.244,29.3,35.1
14033,Colden,No City ,Erie,Springville-Griffith Institute Central School District,B,0.13,0.567,0.851,291700,0.2013,1150,1410,0.769,0.136,0.074,0.157,0,2103,2219,-5.227579991,48,39481,-0.06,0.244,14.8,20.5
14052,East Aurora,No city ,Erie,East Aurora Union Free School District,A,0.13,0.567,0.851,344300,0.2143,1030,1260,0.795,0.174,0.062,0.143,0.004,16384,17329,-5.453286399,51.4,46920,-0.06,0.244,17.3,23
14080,Holland,No City ,Erie,Holland Central School District,C+,0.13,0.567,0.851,257000,0.2429,1070,1310,0.782,0.108,0.062,0.155,0.017,4009,4330,-7.413394919,45,34824,-0.06,0.244,17.3,22.9
14008,Appleton,No City ,Niagara ,Barker Central School District ,B,0.13,0.567,0.851,200400,0.2062,1050,1290,0.714,0.115,0.069,0.217,0,1286,1467,-12.33810498,42.5,30604,-0.06,0.228,22.4,28.3
14035,Collins Center ,No City ,Erie,Hamburg Central School District,B+,0.13,0.567,0.851,254700,0.2429,910,1110,0.615,0,0.385,0,0,101,125,-19.2,43.3,35729,-0.06,0.244,50.2,57.8
14059,Elma,No City ,Erie,Iroquois Central School District,B,0.14,0.567,0.851,343200,0.2429,1310,1600,0.776,0.071,0.028,0.196,0,9864,8933,10.42203067,43.3,50610,-0.06,0.244,10.7,16
14305,Niagara Falls,Niagara Falls,niagara ,Niagara Falls City School District,C+,0.15,0.609,0.964,113100,0.2776,960,1180,0.535,0.337,0.141,0.324,0.042,16913,16898,0.088767902,37.2,27146,-0.06,0.204,60.7,66.6
14301,Niagara Falls,Niagara Falls,Niagara ,Niagara Falls City School District,C+,0.15,0.609,0.964,93800,0.2938,910,1120,0.332,0.475,0.214,0.453,0.074,12682,12817,-1.053288601,42.9,22464,-0.06,0.204,68.6,74.6
14303,Niagara Falls,Niagara Falls,niagara ,Niagara Falls City School District,C+,0.15,0.609,0.964,85900,0.3289,920,1130,0.353,0.376,0.215,0.432,0.037,5763,5981,-3.644875439,35.4,26828,-0.06,0.204,68.2,74.2
14304,Niagara Falls,Niagara Falls,niagara ,Niagara Falls City School District,C+,0.15,0.609,0.964,161600,0.2759,960,1180,0.718,0.219,0.073,0.208,0.015,28977,30389,-4.646418112,44.2,32900,-0.06,0.204,38.4,44.4
14302,Niagara Falls,Niagara Falls,Niagara ,Niagara Falls City School District,C+,0.15,0.609,0.964,215400,0.2633,910,1120,na,0.208,na,na,na,89,107,-16.82242991,78.7,35729,-0.06,0.244,,
14228,Buffalo,No City ,Erie,Sweet Home Central School District,A-,0.153,0.638,1.091,282900,0.2149,1350,1650,0.527,0.459,0.057,0.416,0.029,22045,20857,5.695929424,33.3,35201,-0.06,0.272,33,40.3
14204,Buffalo,Buffalo,Erie,Buffalo Public School District,B-,0.153,0.638,1.091,144000,0.2429,900,1100,0.236,0.208,0.227,0.537,0.032,9022,8691,3.808537568,42.2,23975,-0.06,0.219,78.8,80.8
14222,Buffalo,Buffalo,Erie,Buffalo Public School District,B-,0.153,0.638,1.091,478100,0.2429,1180,1450,0.364,0.605,0.094,0.543,0.029,14562,14046,3.673643742,31.7,44760,-0.06,0.219,61.5,67.4
14219,Buffalo,No city ,Erie,Frontier Central School District,B,0.153,0.638,1.091,208200,0.2724,1010,1240,0.67,0.353,0.053,0.276,0.006,11753,11536,1.881067961,47,35994,-0.06,0.244,38,45.9
14210,Buffalo,Buffalo,Erie,Buffalo Public School District,B-,0.153,0.638,1.091,158000,0.2429,990,1210,0.426,0.454,0.125,0.449,0.005,14967,14694,1.857901184,42.4,23927,-0.06,0.219,75.9,78.5
14261,University at Buffalo,No City ,Erie,na,,0.153,0.638,1.091,269400,0.2429,1360,1670,na,0.208,na,na,na,5819,5713,1.855417469,19.5,35729,-0.06,0.244,,
14221,Buffalo,"Buffalo, NY",Erie,Williamsville Central School District,A+,0.153,0.638,1.091,350500,0.2251,1400,1720,0.713,0.245,0.051,0.236,0.017,54320,53555,1.428438054,46.6,51332,-0.06,0.272,17.5,24.1
14203,Buffalo,Buffalo,Erie,Buffalo Public School District,B-,0.153,0.638,1.091,163000,0.2027,1530,1870,0.013,0.908,0.034,0.953,0.034,1635,1618,1.050679852,32.7,37506,-0.06,0.219,77.5,79.7
14223,Tonawanda ,No city ,Erie,Kenmore-Tonawanda Union Free School District,B,0.153,0.638,1.091,223500,0.2429,1000,1230,0.758,0.194,0.052,0.19,0.011,22795,22665,0.573571586,42.3,39727,-0.06,0.244,21.4,27.6
14218,Lackawanna,Lackawanna,Erie,Lackawanna City School District,C,0.153,0.638,1.091,174500,0.2429,920,1130,0.514,0.383,0.088,0.398,0.008,18957,19039,-0.430694889,39,24804,-0.06,0.244,52.2,57.9
14209,Buffalo,No City ,Erie,Buffalo Public School District,B-,0.153,0.638,1.091,307800,0.2429,1050,1290,0.261,0.581,0.095,0.645,0.002,7859,7926,-0.845319203,32.8,31969,-0.06,0.219,75,77.5
14208,Buffalo,Buffalo,Erie,Buffalo Public School District,B-,0.153,0.638,1.091,130200,0.2429,1090,1330,0.419,0.431,0.238,0.344,0.027,10922,11125,-1.824719101,32.6,22059,-0.06,0.219,74.4,77
14212,Buffalo,Buffalo,Erie,Buffalo Public School District,B-,0.153,0.638,1.091,132700,0.217,950,1160,0.412,0.366,0.17,0.418,0.019,10438,10641,-1.90771544,36.9,19605,-0.06,0.219,78.2,80.3
14206,Buffalo,Buffalo,Erie,Buffalo Public School District,B-,0.153,0.638,1.091,140400,0.2429,1000,1230,0.541,0.325,0.128,0.331,0.011,20248,20751,-2.423979567,40.3,25655,-0.06,0.219,71.1,73.9
14214,Buffalo,Buffalo,Erie,Buffalo Public School District,B-,0.153,0.638,1.091,226400,0.2429,1120,1370,0.409,0.471,0.119,0.471,0.025,19095,19775,-3.438685209,31.4,30624,-0.06,0.219,71.5,75.2
14201,Buffalo,Buffalo,Erie,Buffalo Public School District,B-,0.153,0.638,1.091,300600,0.2429,1010,1240,0.182,0.649,0.174,0.644,0.069,11100,11549,-3.887782492,33.1,24512,-0.06,0.219,77.5,79.7
14227,Cheektowaga,No City ,Erie,Cheektowaga-Sloan Union Free School District,C+,0.153,0.638,1.091,222000,0.2429,1200,1470,0.627,0.33,0.052,0.321,0.017,22457,23426,-4.136429608,49.4,34759,-0.06,0.244,27.9,37.7
14202,Buffalo,No City ,Erie,Buffalo Public School District,B-,0.153,0.638,1.091,504400,0.2429,1090,1340,0.217,0.628,0.137,0.646,0.071,3450,3911,-11.78726668,38.5,51424,-0.06,0.219,75.3,29.1
14134,Sardinia,No City ,Erie,Yorkshire-Pioneer Central School District,B+,0.159,0.596,0.897,206900,0.2429,1100,1350,na,0.208,na,na,na,135,104,29.80769231,45.3,35729,-0.06,0.244,,
14139,South Wales,No City ,Erie,East Aurora Union Free School District,A,0.159,0.596,0.897,286800,0.1997,1030,1260,0.9,0.137,0.035,0.065,0,2496,2125,17.45882353,41.6,36229,-0.06,0.244,10.4,15.5
14170,West Falls,No City ,Erie,East Aurora Union Free School District,A,0.159,0.596,0.897,307100,0.1896,1010,1240,0.786,0.108,0.092,0.122,0,2681,2286,17.27909011,47.1,44792,-0.06,0.244,18.1,23.7
14108,Newfane,No City ,Niagara ,Newfane Central School District,B+,0.159,0.596,0.897,185200,0.2752,960,1170,0.784,0.142,0.071,0.145,0,6206,5882,5.5083305,40.7,32340,-0.06,0.228,18,23.1
14111,North Collins,No City ,Erie,North Collins Central School District,C,0.159,0.596,0.897,191400,0.202,910,1120,0.726,0.208,0.084,0.19,0.007,3493,3352,4.206443914,40.6,32065,-0.06,0.244,23.3,28.5
14109,Niagara University,No City ,niagara ,na,,0.159,0.596,0.897,233400,0.2633,940,1150,na,0.208,na,na,na,1155,1117,3.401969561,19.5,35729,-0.06,0.244,,
14127,Orchard Park,No City ,Erie,Orchard Park Central School District,A-,0.159,0.596,0.897,357000,0.2609,1220,1500,0.714,0.196,0.018,0.267,0.002,30779,29961,2.730215947,45.2,50382,-0.06,0.244,14.2,19.8
14102,Marilla,No City ,Erie,Iroquois Central School District,B,0.159,0.596,0.897,306600,0.2259,1070,1310,0.865,0.133,0,0.135,0,1312,1281,2.419984387,47.5,44249,-0.06,0.244,4.6,9.4
14132,Sanborn,No City ,niagara ,Niagara-Wheatfield Central School District,A-,0.159,0.596,0.897,255800,0.2319,1000,1230,0.791,0.114,0.045,0.164,0,6217,6218,-0.016082342,44.5,35887,-0.06,0.228,22.1,27.4
14120,North Towawanda,No City ,niagara ,North Tonawanda City School District,C+,0.159,0.596,0.897,217100,0.2704,960,1170,0.682,0.275,0.066,0.253,0.022,44686,45100,-0.917960089,45.3,36434,-0.06,0.238,23.3,30.1
14105,Middleport,No City ,Niagara ,Royalton-Hartland Central School District,B-,0.159,0.596,0.897,163400,0.2937,950,1160,0.744,0.197,0.099,0.157,0.004,4481,4566,-1.861585633,44.5,29273,-0.06,0.228,19.9,25.6
14131,Ransomville,No City ,niagara ,Lewiston-Porter Central School District,A,0.159,0.596,0.897,225600,0.2429,1290,1580,0.798,0.086,0.125,0.077,0.022,5107,5283,-3.331440469,51.4,40198,-0.06,0.228,18.4,23.2
14141,Springville,No City ,Erie,Springville-Griffith Institute Central School District,B,0.159,0.596,0.897,206300,0.2256,910,1110,0.621,0.251,0.133,0.245,0.015,7423,7728,-3.946687371,44.7,36781,-0.06,0.244,23.2,29.4
14174,Youngstown,No City ,niagara ,Lewiston-Porter Central School District,A,0.159,0.596,0.897,260000,0.2111,1050,1280,0.749,0.137,0.085,0.166,0.024,5474,5794,-5.522954781,46.9,44155,-0.06,0.228,17.5,23.2
14172,Wilson,No City ,niagara ,Wilson Central School District,C+,0.159,0.596,0.897,217200,0.2664,1100,1350,0.694,0.133,0.186,0.12,0,2826,3200,-11.6875,49.7,35571,-0.06,0.228,19.1,25
14169,Wales Center ,No City ,Erie,Iroquois Central School District,B,0.159,0.596,0.897,45000,0.2429,1000,1220,na,0.208,na,na,na,132,151,-12.58278146,43.8,35729,-0.06,0.244,54.1,59.4
14126,Olcott,Olcott,niagara ,Newfane Central School District,B+,0.159,0.596,0.897,149700,0.2633,1120,1370,0.513,0.275,0.327,0.16,0,486,588,-17.34693878,43.5,31681,-0.06,0.228,52.5,58.2
14112,North Evans,No City ,Erie,Lake Shore Central School District,B,0.159,0.596,0.897,274200,0.2429,1180,1450,na,0.208,na,na,na,0,85,-100,71,35729,-0.06,0.244,,
14216,Buffalo,"Buffalo, NY",Erie,Buffalo City School District,B-,15.3,63.8,109.1,312839,0.2429,1270,1550,0.455,0.467,0.081,0.465,0.012,22399,22431,-0.142659712,34,41451,-0.06,0.219,49,100
14072,Grand Island,No City ,Erie,Grand Island Central School District,B+,0.13,0.567,0.851,338100,0.2135,1300,1590,0.772,0.197,0.029,0.199,0.008,20855,20374,2.360852066,44.6,45317,-0.06,0.244,12.9,18.5
14075,Hamburg,No City ,Erie,Hamburg Central School District,B+,0.13,0.567,0.851,261500,0.2686,1200,1470,0.694,0.243,0.033,0.273,0.004,42883,41937,2.255764599,47.3,40888,-0.06,0.244,19.6,27.3
14224,West Seneca,"West Seneca, NY",Erie,West Seneca Central School District,B,0.153,0.638,1.091,246800,0.2788,1160,1420,0.74,0.208,0.048,0.213,0.006,40784,39889,2.243726341,46.3,38113,-0.06,0.247,22.3,28.3
14207,Buffalo,"Buffalo,NY",Erie,Buffalo Public School District,B-,0.153,0.638,1.091,134900,0.2429,950,1160,0.309,0.562,0.104,0.587,0.012,24030,23552,2.02955163,30.8,20072,-0.06,0.219,78.4,80.5
14213,Buffalo,"Buffalo,NY",Erie,Buffalo Public School District,B-,0.153,0.638,1.091,173000,0.2429,1010,1240,0.309,0.543,0.165,0.526,0.019,24708,24465,0.993255671,30.1,26046,-0.06,0.219,77.8,80
14226,Eggertsville,No City ,Erie,Amherst Central School District,A,0.153,0.638,1.091,250200,0.2492,1240,1520,0.711,0.253,0.047,0.243,0.01,29460,29267,0.659445792,38.1,46784,-0.06,0.272,25,31.4
14225,Cheektowaga,"Buffalo, NY",Erie,Cheektowaga Central School District,B,0.153,0.638,1.091,194100,0.2429,1060,1300,0.679,0.261,0.031,0.29,0.006,33510,33385,0.37441965,38.2,31802,-0.06,0.244,35.2,44.6
14215,Buffalo,"Buffalo, NY",Erie,Buffalo Public School District,B-,0.153,0.638,1.091,112700,0.2429,960,1180,0.406,0.442,0.112,0.482,0.009,40088,39999,0.222505563,32.1,22024,-0.06,0.219,77,79.2
14220,Buffalo,"Buffalo,NY",Erie,Buffalo Public School District,B-,0.153,0.638,1.091,199700,0.2429,1020,1250,0.613,0.304,0.081,0.306,0.003,24064,24227,-0.672803071,39.7,30708,-0.06,0.219,62.2,66.4
14043,Depew,No City ,Erie,Depew Union Free School District,B+,0.13,0.567,0.851,204100,0.2429,1140,1390,0.671,0.291,0.038,0.291,0.012,24512,24742,-0.929593404,42.9,34758,-0.06,0.244,28.1,37.8
14217,Kenmore,No City ,Erie,Kenmore-Tonawanda Union Free School District,B,0.153,0.638,1.091,202700,0.2804,1030,1260,0.638,0.335,0.051,0.311,0.004,23078,23408,-1.409774436,43.9,37454,-0.06,0.244,27.9,35
14150,Tonawanda ,"Buffalo,NY",Erie,Kenmore-Tonawanda Union Free School District,B,0.159,0.596,0.897,205100,0.2565,1160,1420,0.684,0.258,0.043,0.272,0.018,40930,41676,-1.78999904,42.9,34461,-0.06,0.244,28.9,35.5
14211,Buffalo,"Buffalo, NY",Erie,Buffalo Public School District,B-,0.153,0.638,1.091,80300,0.2429,950,1160,0.346,0.431,0.176,0.478,0.006,22115,22611,-2.193622573,33.7,20766,-0.06,0.219,78.1,80.2